quicksort,2,4,0
quicksort,3,8,0
quicksort,4,16,0
quicksort,5,32,0.001
quicksort,6,64,0.001
quicksort,7,128,0.002
quicksort,8,256,0.004
quicksort,9,512,0.009
quicksort,10,1024,0.02
quicksort,11,2048,0.034
quicksort,12,4096,0.07
quicksort,13,8192,0.132
quicksort,14,16384,0.285
quicksort,15,32768,0.554
quick_select,2,4,0
quick_select,3,8,0
quick_select,4,16,0
quick_select,5,32,0
quick_select,6,64,0
quick_select,7,128,0
quick_select,8,256,0
quick_select,9,512,0
quick_select,10,1024,0.001
quick_select,11,2048,0.001
quick_select,12,4096,0.003
quick_select,13,8192,0.009
quick_select,14,16384,0.016
quick_select,15,32768,0.019
heap,2,4,0
heap,3,8,0
heap,4,16,0
heap,5,32,0
heap,6,64,0
heap,7,128,0
heap,8,256,0.001
heap,9,512,0.001
heap,10,1024,0.002
heap,11,2048,0.003
heap,12,4096,0.004
heap,13,8192,0.008
heap,14,16384,0.017
heap,15,32768,0.033
